Iterations,Average Crashes L,Average Crashes O,Average Crashes R,Average Crashes R w/ Full Restart
0,100,,,
5,100,,,
10,100,,,
15,100,,,
20,100,,,
25,100,,,
30,100,,,
35,100,,,
40,100,,,
45,100,,,
50,100,,,
55,100,,,
60,100,,,
65,100,,,
70,100,,,
75,100,,,
80,100,,,
85,100,,,
90,100,,,
95,100,,,
100,100,,,
105,100,,,
110,100,,,
115,100,,,
120,100,,,
125,100,,,
130,100,,,
135,100,,,
140,100,,,
145,100,,,
150,100,,,
155,100,,,
160,100,,,
165,100,,,
170,100,,,
175,100,,,
180,100,,,
185,100,,,
190,100,,,
195,100,,,
200,100,,,
205,100,,,
210,100,,,
215,100,,,
220,100,,,
225,100,,,
230,100,,,
235,100,,,
240,100,,,
245,100,,,
250,100,,,
255,100,,,
260,100,,,
265,100,,,
270,100,,,
275,100,,,
280,100,,,
285,100,,,
290,100,,,
295,100,,,
300,100,,,
305,100,,,
310,100,,,
315,100,,,
320,100,,,
325,100,,,
330,100,,,
335,100,,,
340,100,,,
345,100,,,
350,100,,,
355,100,,,
360,100,,,
365,100,,,
370,100,,,
375,100,,,
380,100,,,
385,100,,,
390,100,,,
395,100,,,
400,100,,,
405,100,,,
410,100,,,
415,100,,,
420,100,,,
425,100,,,
430,100,,,
435,100,,,
440,100,,,
445,100,,,
450,100,,,
455,100,,,
460,100,,,
465,100,,,
470,100,,,
475,100,,,
480,100,,,
485,100,,,
490,100,,,
495,100,,,
500,100,,,
505,100,,,
510,100,,,
515,100,,,
520,100,,,
525,100,,,
530,100,,,
535,100,,,
540,100,,,
545,100,,,
550,100,,,
555,100,,,
560,100,,,
565,100,,,
570,100,,,
575,100,,,
580,100,,,
585,100,,,
590,100,,,
595,100,,,
600,100,,,
605,100,,,
610,100,,,
615,100,,,
620,100,,,
625,100,,,
630,100,,,
635,100,,,
640,100,,,
645,100,,,
650,100,,,
655,100,,,
660,100,,,
665,100,,,
670,100,,,
675,100,,,
680,100,,,
685,100,,,
690,100,,,
695,100,,,
700,100,,,
705,100,,,
710,100,,,
715,100,,,
720,100,,,
725,100,,,
730,100,,,
735,100,,,
740,100,,,
745,100,,,
750,100,,,
755,100,,,
760,100,,,
765,100,,,
770,100,,,
775,100,,,
780,100,,,
785,100,,,
790,100,,,
795,100,,,
800,100,,,
805,100,,,
810,100,,,
815,100,,,
820,100,,,
825,90,,,
830,100,,,
835,90,,,
840,100,,,
845,90,,,
850,100,,,
855,100,,,
860,100,,,
865,100,,,
870,100,,,
875,100,,,
880,100,,,
885,90,,,
890,100,,,
895,100,,,
900,100,,,
905,100,,,
910,90,,,
915,100,,,
920,100,,,
925,100,,,
930,100,,,
935,90,,,
940,90,,,
945,100,,,
950,90,,,
955,100,,,
960,100,,,
965,90,,,
970,100,,,
975,90,,,
980,90,,,
985,80,,,
990,100,,,
995,100,,,
1000,100,,,
1005,90,,,
1010,100,,,
1015,100,,,
1020,90,,,
1025,100,,,
1030,100,,,
1035,90,,,
1040,100,,,
1045,100,,,
1050,100,,,
1055,100,,,
1060,100,,,
1065,90,,,
1070,100,,,
1075,90,,,
1080,100,,,
1085,100,,,
1090,90,,,
1095,100,,,
1100,100,,,
1105,100,,,
1110,100,,,
1115,100,,,
1120,100,,,
1125,100,,,
1130,90,,,
1135,90,,,
1140,100,,,
1145,100,,,
1150,100,,,
1155,100,,,
1160,100,,,
1165,90,,,
1170,100,,,
1175,100,,,
1180,90,,,
1185,100,,,
1190,100,,,
1195,100,,,
1200,100,,,
1205,100,,,
1210,100,,,
1215,100,,,
1220,100,,,
1225,90,,,
1230,90,,,
1235,90,,,
1240,90,,,
1245,90,,,
1250,100,,,
1255,100,,,
1260,90,,,
1265,100,,,
1270,100,,,
1275,90,,,
1280,100,,,
1285,100,,,
1290,100,,,
1295,100,,,
1300,100,,,
1305,100,,,
1310,100,,,
1315,100,,,
1320,100,,,
1325,100,,,
1330,90,,,
1335,100,,,
1340,90,,,
1345,100,,,
1350,100,,,
1355,100,,,
1360,90,,,
1365,90,,,
1370,100,,,
1375,90,,,
1380,100,,,
1385,100,,,
1390,100,,,
1395,100,,,
1400,100,,,
1405,100,,,
1410,100,,,
1415,100,,,
1420,100,,,
1425,100,,,
1430,90,,,
1435,100,,,
1440,90,,,
1445,100,,,
1450,100,,,
1455,100,,,
1460,100,,,
1465,100,,,
1470,100,,,
1475,100,,,
1480,90,,,
1485,100,,,
1490,100,,,
1495,90,,,
1500,100,,,
1505,100,,,
1510,100,,,
1515,90,,,
1520,90,,,
1525,100,,,
1530,100,,,
1535,90,,,
1540,100,,,
1545,90,,,
1550,90,,,
1555,100,,,
1560,100,,,
1565,90,,,
1570,90,,,
1575,100,,,
1580,90,,,
1585,100,,,
1590,100,,,
1595,100,,,
1600,100,,,
1605,100,,,
1610,100,,,
1615,100,,,
1620,100,,,
1625,100,,,
1630,90,,,
1635,100,,,
1640,100,,,
1645,100,,,
1650,100,,,
1655,90,,,
1660,90,,,
1665,100,,,
1670,100,,,
1675,100,,,
1680,100,,,
1685,100,,,
1690,100,,,
1695,100,,,
1700,90,,,
1705,90,,,
1710,90,,,
1715,90,,,
1720,100,,,
1725,100,,,
1730,90,,,
1735,100,,,
1740,100,,,
1745,90,,,
1750,100,,,
1755,100,,,
1760,100,,,
1765,100,,,
1770,100,,,
1775,100,,,
1780,90,,,
1785,100,,,
1790,90,,,
1795,90,,,
1800,100,,,
1805,100,,,
1810,100,,,
1815,100,,,
1820,90,,,
1825,100,,,
1830,90,,,
1835,100,,,
1840,100,,,
1845,100,,,
1850,100,,,
1855,90,,,
1860,90,,,
1865,100,,,
1870,100,,,
1875,100,,,
1880,100,,,
1885,100,,,
1890,100,,,
1895,100,,,
1900,90,,,
1905,100,,,
1910,100,,,
1915,100,,,
1920,90,,,
1925,100,,,
1930,90,,,
1935,90,,,
1940,100,,,
1945,100,,,
1950,100,,,
1955,100,,,
1960,90,,,
1965,100,,,
1970,100,,,
1975,100,,,
1980,100,,,
1985,100,,,
1990,100,,,
1995,100,,,
2000,100,,,
2005,100,,,
2010,100,,,
2015,100,,,
2020,100,,,
2025,100,,,
2030,100,,,
2035,100,,,
2040,100,,,
2045,100,,,
2050,100,,,
2055,100,,,
2060,90,,,
2065,100,,,
2070,100,,,
2075,100,,,
2080,100,,,
2085,100,,,
2090,100,,,
2095,90,,,
2100,100,,,
2105,100,,,
2110,100,,,
2115,100,,,
2120,100,,,
2125,100,,,
2130,100,,,
2135,100,,,
2140,100,,,
2145,90,,,
2150,90,,,
2155,90,,,
2160,90,,,
2165,100,,,
2170,100,,,
2175,100,,,
2180,100,,,
2185,100,,,
2190,100,,,
2195,100,,,
2200,90,,,
2205,90,,,
2210,100,,,
