Iterations,Average Moves L,Average Moves O,Average Moves R,R Moves w/ Full Restart
0,360,180,157.5,462.5
5,200,120,335,287.5
10,340,180,242.5,145
15,340,140,282.5,230
20,340,160,290,227.5
25,310,180,342.5,217.5
30,280,140,422.5,367.5
35,320,160,192.5,195
40,350,140,275,277.5
45,260,160,285,270
50,340,180,345,302.5
55,270,180,240,375
60,260,180,355,525
65,250,120,280,162.5
70,310,160,450,172.5
75,320,120,192.5,130
80,240,160,177.5,260
85,330,160,225,375
90,310,100,97.5,197.5
95,380,120,150,357.5
100,350,120,175,222.5
105,290,180,167.5,222.5
110,360,140,477.5,222.5
115,330,160,87.5,552.5
120,300,160,185,370
125,230,180,247.5,120
130,310,120,177.5,340
135,290,100,352.5,395
140,370,100,362.5,235
145,310,120,412.5,135
150,250,180,105,330
155,310,140,192.5,385
160,250,220,112.5,227.5
165,390,140,267.5,445
170,220,180,195,170
175,280,120,205,212.5
180,260,140,327.5,312.5
185,350,100,167.5,390
190,320,140,125,310
195,370,100,143,285
200,320,140,257.5,320
205,290,140,167.5,257.5
210,190,160,202.5,195
215,250,200,267.5,127.5
220,300,160,353,150
225,170,160,282.5,352.5
230,260,140,210,402.5
235,320,180,165,195
240,350,180,292.5,242.5
245,330,120,198,385
250,290,180,175,205
255,310,100,185,365
260,330,180,125.5,322.5
265,310,210,680,242.5
270,270,150,165,225
275,350,160,160,205
280,350,220,205,202.5
285,340,160,362.5,312.5
290,320,120,187.5,230
295,290,200,257.5,385
300,310,140,245.5,267.5
305,200,160,223,302.9
310,320,140,335,195
315,310,140,267.5,210
320,290,180,252.5,287.5
325,300,180,140,462.5
330,380,150,262.5,197.5
335,310,120,175,187.9
340,380,120,312.5,105.4
345,350,140,290,280.4
350,350,210,262.5,152.5
355,330,160,107.5,342.5
360,330,210,90,225
365,350,100,310,297.5
370,280,140,320.5,112.5
375,250,140,175.5,275.4
380,240,120,275,372.5
385,300,210,202.5,445
390,350,140,352.5,205
395,340,210,320,390
400,270,140,185,250
405,250,160,245,462.5
410,290,120,167.5,272.5
415,300,160,258,95.4
420,280,230,355,400
425,370,170,488,445.4
430,320,120,160.5,145
435,320,160,188,282.9
440,260,160,415,255
445,360,160,352.5,232.5
450,360,180,342.5,207.5
455,330,200,198,470
460,330,160,352.5,462.5
465,280,140,342.5,150
470,250,140,177.5,325
475,330,120,325,292.5
480,280,190,107.5,242.5
485,330,220,255,142.5
490,330,200,200,212.5
495,300,160,247.5,137.9
500,240,190,87.5,192.5
505,390,160,355,337.5
510,290,160,272.5,345
515,350,180,275,98
520,270,120,317.5,302.5
525,310,140,258,187.5
530,380,210,520,102.9
535,280,160,485,275.5
540,340,210,105.5,295
545,340,180,185,222.5
550,390,140,92.5,205
555,320,120,257.5,138
560,340,160,285.5,202.5
565,270,120,95,222.5
570,300,120,282.5,197.9
575,330,140,170.5,352.9
580,290,160,187.5,212.9
585,350,120,335,163
590,340,140,362.5,313
595,350,140,167.5,210
600,360,170,195.5,270.5
605,290,120,267.5,215
610,340,190,160.5,372.5
615,370,140,212.5,323
620,340,180,247.5,270
625,240,150,265.5,162.5
630,300,170,195,187.5
635,240,120,488,307.9
640,210,180,265.5,202.5
645,300,140,262.5,155
650,350,120,142.5,207.5
655,260,170,83,132.9
660,260,210,245,322.5
665,270,120,343,193
670,350,180,325,362.5
675,240,120,282.5,330
680,360,160,167.5,332.5
685,320,200,175,372.5
690,290,170,415,282.5
695,250,190,328,170
700,290,120,290,288
705,300,120,250,347.5
710,350,110,442.5,375
715,360,190,168,132.5
720,350,140,163,188
725,310,170,262.5,177.9
730,370,160,335,185
735,250,190,170.5,278
740,370,120,415,190
745,260,140,160.5,177.5
750,360,190,160.5,225
755,260,170,83,433
760,230,210,167.5,200.4
765,300,170,268.5,315
770,320,160,262.5,285.5
775,260,140,290,255
780,370,170,280,282.5
785,300,220,240.5,290
790,270,140,248,280
795,240,140,265,197.5
800,380,100,180,440
805,360,150,182.5,380
810,300,120,318,215
815,300,150,262.5,380
820,240,160,345,287.5
825,212.7,100,178,335
830,210,230,230.5,293
835,272.7,180,238.5,277.5
840,320,140,380,272.5
845,302.7,120,353,412.9
850,330,160,185,275
855,270,190,370,172.5
860,330,130,328,142.5
865,340,150,506,195.5
870,310,160,335,195.4
875,270,170,310.5,102.5
880,280,140,98,385
885,332.7,120,135.5,242.5
890,270,190,327.5,197.5
895,360,200,177.5,232.5
900,270,210,70.5,207.5
905,240,200,262.5,188.4
910,252.7,140,342.5,340
915,210,110,408,135.5
920,350,140,182.5,225
925,320,160,82.5,215
930,390,160,68,200.4
935,252.7,140,222.5,312.5
940,202.7,210,175,202.5
945,260,170,352.5,400
950,332.7,200,185,280
955,300,180,337.5,302.5
960,330,140,352.5,242.5
965,282.7,130,282.5,197.9
970,440,140,435.5,185
975,282.7,140,408,215
980,282.7,160,240.5,277.9
985,275.4,140,167.5,355.4
990,300,170,452.5,268
995,340,170,470.5,275
1000,340,140,343,202.9
1005,252.7,170,242.5,400
1010,310,140,328,300
1015,350,190,430,260
1020,252.7,180,101,315.5
1025,410,140,212.5,228
1030,430,150,172.5,203
1035,302.7,160,342.5,300
1040,360,130,185,275
1045,320,132.7,265,227.5
1050,360,162.7,145.5,142.5
1055,230,192.7,387.5,217.5
1060,250,152.7,280,215.4
1065,372.7,160,425.6,287.9
1070,270,160,160.6,217.9
1075,322.7,142.7,187.5,193
1080,280,112.7,185,287.9
1085,400,120,223,87.5
1090,342.7,110,265.6,252.5
1095,480,142.7,150.6,390
1100,270,120,322.5,327.5
1105,300,120,158,150
1110,380,150,258.1,285
1115,390,150,167.5,205.4
1120,300,172.7,248.6,138
1125,280,150,258,375
1130,242.7,112.7,180,127.5
1135,392.7,140,325,185
1140,380,180,185.6,300
1145,260,110,328.6,247.5
1150,400,132.7,185.6,320
1155,440,160,247.5,140.4
1160,380,140,328.1,217.9
1165,172.7,172.7,230.5,367.5
1170,450,180,265,150
1175,380,170,123.1,255.5
1180,222.7,150,280,145.9
1185,240,112.7,177.5,440
1190,350,112.7,108,457.5
1195,330,122.7,160.5,135.5
1200,300,140,345,245
1205,300,140,102.5,303
1210,270,120,342.5,127.9
1215,370,140,125,552.5
1220,300,132.7,355,412.9
1225,292.7,130,248.1,243
1230,132.7,180,417.5,322.9
1235,282.7,142.7,365,482.9
1240,202.7,120,132.5,292.9
1245,382.7,172.7,282.5,252.5
1250,360,140,210,315.4
1255,310,140,432.5,292.5
1260,302.7,140,265,125
1265,410,150,335,225
1270,300,150,125.6,197.5
1275,302.7,120,305,90.4
1280,320,172.7,180,130.8
1285,220,92.7,248.1,340.4
1290,230,120,363.1,207.5
1295,240,200,98,285.6
1300,280,132.7,232.5,242.9
1305,310,120,292.5,165
1310,270,140,368.6,345.4
1315,370,160,352.5,370
1320,260,120,322.5,282.5
1325,310,160,340.5,218.5
1330,252.7,142.7,262.5,290
1335,270,160,375,125.4
1340,282.7,162.7,272.5,262.5
1345,220,170,105,422.9
1350,290,120,152.5,205.4
1355,320,102.7,195.6,187.5
1360,302.7,140,107.5,373.1
1365,252.7,100,490,245.4
1370,350,140,105,350
1375,262.7,152.7,425.6,197.9
1380,320,120,270,212.5
1385,270,150,230,340
1390,340,140,198.6,230
1395,250,150,188.1,198.1
1400,310,162.7,205,120.4
1405,260,140,367.5,240
1410,280,140,160.5,377.5
1415,200,170,215,345
1420,310,172.7,153.6,290
1425,270,160,283,307.9
1430,232.7,132.7,237.5,297.5
1435,330,180,330,147.5
1440,292.7,92.7,372.5,152.5
1445,250,112.7,295,342.5
1450,380,140,195,317.5
1455,320,180,237.5,237.9
1460,240,162.7,233,112.5
1465,280,160,272.5,335
1470,310,180,205,322.5
1475,290,120,168,210.8
1480,242.7,150,335,452.9
1485,260,120,295,205.4
1490,280,132.7,302.5,205
1495,322.7,160,255.5,422.9
1500,400,140,292.5,400.4
1505,290,142.7,285.5,107.5
1510,240,180,305,212.5
1515,272.7,190,90,135
1520,202.7,190,175,470
1525,320,120,167.5,310
1530,450,180,305,265.4
1535,282.7,112.7,175,362.5
1540,290,140,390,285
1545,222.7,152.7,175.5,250
1550,272.7,240,185,115.4
1555,420,140,105,110.8
1560,250,92.7,262.5,385.4
1565,382.7,170,215,165
1570,322.7,230,225,340
1575,350,120,165,480
1580,312.7,112.7,295,232.5
1585,300,132.7,203,262.5
1590,310,110,125,360
1595,290,140,252.5,265.4
1600,230,160,95,260
1605,290,170,115.5,280.4
1610,240,210,185.5,125.4
1615,300,152.7,152.5,257.9
1620,220,120,395,230
1625,300,160,105,242.5
1630,242.7,100,322.5,445
1635,290,150,380,267.5
1640,250,192.7,235,167.5
1645,340,140,137.5,327.5
1650,340,162.7,165,307.9
1655,242.7,160,250,292.5
1660,262.7,180,265,232.5
1665,310,112.7,215,205
1670,290,160,247.5,215
1675,330,172.7,255,280
1680,240,190,298,197.5
1685,370,120,287.5,122.9
1690,310,140,225,275.4
1695,220,120,197.5,320
1700,242.7,150,192.5,198.3
1705,232.7,170,270,145.4
1710,262.7,92.7,215,435
1715,272.7,132.7,212.5,250
